Datum: 03.12.2015 06:02
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.02725   -1.12   33.40   -1.15   -0.75   -0.40    0.04    4.02    7.67    3.00    0.08   -0.20   -0.57
000.02750   -0.94   33.40   -1.06   -0.81   -0.40    0.05    4.20    6.83    3.00    0.13   -0.29   -0.75
000.02775   -0.70   33.40   -0.96   -0.80   -0.39    0.05    4.34    5.67    3.00    0.18   -0.36   -0.90
000.028     -0.56   33.40   -0.85   -0.73   -0.39    0.05    4.44    6.17    1.50    0.24   -0.38   -1.01
000.02825   -0.47   33.40   -0.71   -0.64   -0.38    0.05    4.50    3.50    1.50    0.29   -0.34   -1.05
000.02850   -0.39   33.40   -0.56   -0.57   -0.38    0.05    4.56    3.02    9.00    0.34   -0.26   -1.04
000.02875   -0.25   33.40   -0.37   -0.50   -0.37    0.05    4.50    3.42    9.00    0.40   -0.15   -0.99
000.029     -0.16   33.40   -0.16   -0.45   -0.36    0.05    4.48    3.75    3.00    0.45   -0.03   -0.89
000.02925   -0.02   33.40    0.03   -0.37   -0.35    0.05    4.38    5.92    3.00    0.50    0.05   -0.77
000.02950    0.09   33.40    0.21   -0.28   -0.33    0.05    4.28    7.83    3.00    0.55    0.10   -0.63
000.02975    0.13   33.40    0.34   -0.15   -0.32    0.06    4.15    9.50    3.00    0.59    0.11   -0.47
000.030      0.13   33.40    0.44   -0.01   -0.30    0.06    3.96   10.83    3.00    0.64    0.10   -0.30
000.03025    0.14   33.40    0.48    0.10   -0.29    0.06    3.83   11.83    3.00    0.69    0.09   -0.12
000.03050    0.11   33.40    0.50    0.16   -0.27    0.06    3.71   12.42    3.00    0.73    0.08    0.03
000.03075    0.11   33.40    0.50    0.14   -0.25    0.06    3.64   14.67    1.50    0.77    0.06    0.17
000.031      0.19   33.40    0.48    0.05   -0.23    0.06    3.41   14.50    1.50    0.81    0.02    0.30
000.03125    0.27   33.40    0.47   -0.07   -0.21    0.06    3.31   13.83    1.50    0.84   -0.03    0.41
